cluster_nodes,n,k,run,method,time
1,10000,10,3,PySpark,0.7336652278900146
1,10000,10,3,QR,3.3084795475006104
1,10000,10,3,SVD,2.564692735671997
1,10000,10,4,PySpark,0.7661573886871338
1,10000,10,4,QR,3.340376377105713
1,10000,10,4,SVD,2.5805976390838623
1,10000,20,0,PySpark,0.9894421100616455
1,10000,20,0,QR,5.210246324539185
1,10000,20,0,SVD,3.78528094291687
1,10000,20,1,PySpark,1.0217642784118652
1,10000,20,1,QR,4.475708723068237
1,10000,20,1,SVD,3.6841113567352295
1,10000,20,2,PySpark,1.068793535232544
1,10000,20,2,QR,4.631099700927734
1,10000,20,2,SVD,3.7298500537872314
1,10000,20,3,PySpark,1.091355562210083
1,10000,20,3,QR,4.586055278778076
1,10000,20,3,SVD,3.58571195602417
1,10000,20,4,PySpark,1.1025900840759277
1,10000,20,4,QR,4.512602090835571
1,10000,20,4,SVD,3.6072425842285156
1,1000,2,0,PySpark,9.781116485595703
1,1000,2,0,QR,4.466379880905151
1,1000,2,0,SVD,1.486835241317749
1,1000,2,1,PySpark,0.6229207515716553
1,1000,2,1,QR,2.0735673904418945
1,1000,2,1,SVD,1.4199142456054688
1,1000,2,0,PySpark,6.972871780395508
1,1000,2,0,QR,4.46174693107605
1,1000,2,0,SVD,1.359349012374878
1,1000,2,1,PySpark,0.5696983337402344
1,1000,2,1,QR,2.0949668884277344
1,1000,2,1,SVD,1.3897581100463867
1,1000,2,2,PySpark,0.5757591724395752
1,1000,2,2,QR,1.8910131454467773
1,1000,2,2,SVD,1.3488883972167969
1,1000,2,3,PySpark,0.540734052658081
1,1000,2,3,QR,1.9086391925811768
1,1000,2,3,SVD,1.2692980766296387
1,1000,2,4,PySpark,0.48781490325927734
1,1000,2,4,QR,1.8843803405761719
1,1000,2,4,SVD,1.2798314094543457
1,1000,10,0,PySpark,0.5190210342407227
1,1000,10,0,QR,2.5674517154693604
1,1000,10,0,SVD,1.5261142253875732
1,1000,10,1,PySpark,0.5343828201293945
1,1000,10,1,QR,2.149655342102051
1,1000,10,1,SVD,1.438520908355713
1,1000,10,2,PySpark,0.5034925937652588
1,1000,10,2,QR,2.048290967941284
1,1000,10,2,SVD,1.4365863800048828
1,1000,10,3,PySpark,0.48475122451782227
1,1000,10,3,QR,2.1005570888519287
1,1000,10,3,SVD,1.4664051532745361
1,1000,10,4,PySpark,0.5426583290100098
1,1000,10,4,QR,2.0987274646759033
1,1000,10,4,SVD,1.4526622295379639
1,1000,20,0,PySpark,0.4141874313354492
1,1000,20,0,QR,2.3722705841064453
